WARNING: 1 open meshes remove
     Removed: P80
WARNING: 1 open meshes merged
     Merged: MainWing
...Mass Properties...
6 Num Comps
6 Total Num Meshes
6472 Total Num Tris

3.901909553546615e-02             Total Mass
6.006469066196115e-02 2.321689982451366e-06 2.601062063299018e-02       Center of Gravity
4.022691924648801e-03 3.976283603691165e-03 7.870879442157712e-03       Ixx, Iyy, Izz
-1.984717948031544e-06 6.013230741255847e-05 1.221198621042127e-06       Ixy, Ixz, Iyz
3.901909553546615e-02             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
MainWing	1.572466249120456e-02	6.390563618950282e-02	3.863557836894564e-05	-6.902771630987751e-03	3.891081237608551e-03	1.054689496543961e-04	3.992580304394583e-03	-1.346729807993553e-06	-1.059513563108967e-07	7.867343664069701e-07	1.572466249120456e-02
Fusealge	2.199178447145200e-02	2.322439042712514e-02	-3.018189846543187e-05	4.552102760901231e-02	7.448629036157603e-05	3.369923060156286e-03	3.391908535618301e-03	-7.464040076210627e-07	2.666499140198854e-05	4.665101879439423e-07	2.199178447145200e-02
VTail	3.094528828473470e-04	6.357530453932998e-01	7.249389419840087e-02	1.480139932269959e-01	7.175337572654546e-07	1.270408381382556e-06	1.062354112880267e-06	1.490010208533786e-07	2.147986558729833e-07	3.172334836035141e-07	3.094528828473470e-04
VTail	3.117897523613237e-04	6.357362416798813e-01	-7.220849172864846e-02	1.476125048300839e-01	7.268286711562725e-07	1.283286474302057e-06	1.071345290362355e-06	-1.522487498732904e-07	2.159389551516975e-07	-3.229594878745412e-07	3.117897523613237e-04
Elevator	3.425450606220461e-04	6.354196812213885e-01	1.475329149626491e-01	4.476468645688732e-02	1.334578062808034e-06	9.209877326050459e-07	2.238144884872458e-06	3.620134964707313e-07	2.195554303747299e-09	3.820231286937002e-09	3.425450606220461e-04
Elevator	3.388608769787526e-04	6.357122863732443e-01	-1.484663438371258e-01	4.486995411613453e-02	1.305062047713130e-06	9.076032577726333e-07	2.195636243533626e-06	-3.472363639938110e-07	-5.359200165557534e-10	4.613073404303268e-09	3.388608769787526e-04
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	3.901909553546615e-02	6.006469066196115e-02	2.321689982451366e-06	2.601062063299018e-02	4.022691924648801e-03	3.976283603691165e-03	7.870879442157712e-03	-1.984717948031544e-06	6.013230741255847e-05	1.221198621042127e-06	3.901909553546615e-02

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
20 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
-7.822336065573776e-01	1.096588744982075e-04	-7.822336065573781e-01	-3.463279196291739e-18	2.102677105978932e-02	3.207154429615313e-08	1.579571358851855e-07	1.665380737395216e-07	-8.873326523973751e-10	-8.163735846569953e-10	-2.960232590126233e-10	1.096588744982075e-04
-7.022336065573777e-01	4.604787169508197e-04	-7.212848887055455e-01	1.956462945694776e-18	2.568485357847566e-02	3.578661952110082e-07	1.273846342974670e-06	1.381333945717045e-06	-5.283628748003779e-09	3.802103552532432e-08	-3.480318173095273e-09	4.604787169508197e-04
-6.222336065573776e-01	1.050466915653943e-03	-6.656533531826467e-01	5.704108063371097e-18	2.877451723547979e-02	1.268254583393136e-06	4.920213560571845e-06	5.293477726972175e-06	-1.619341887122557e-08	1.743394022012660e-07	-7.322715137274333e-09	1.050466915653943e-03
-5.422336065573776e-01	1.911187707243347e-03	-6.100701461483736e-01	2.640705651687498e-18	3.149535854726349e-02	3.194865952210490e-06	1.396910444725804e-05	1.487899698757871e-05	-3.410467509186464e-08	5.204840664308776e-07	-6.637032667628626e-09	1.911187707243347e-03
-4.622336065573776e-01	3.065147037853561e-03	-5.544129942534286e-01	2.172194750092547e-18	3.398850687575572e-02	6.648662004427809e-06	3.249875238152731e-05	3.433148930479515e-05	-6.406899754096527e-08	1.214342751231496e-06	5.833515682225525e-09	3.065147037853561e-03
-3.822336065573776e-01	4.509508040057072e-03	-4.992652506941760e-01	1.203260783852021e-18	3.623679023150930e-02	1.204483085776980e-05	6.552991396381919e-05	6.875713618006044e-05	-1.050350799050759e-07	2.387923308091507e-06	4.057488251231148e-08	4.509508040057072e-03
-3.022336065573777e-01	6.130883210479185e-03	-4.471582043480947e-01	1.277360558733697e-18	3.792993683229053e-02	1.882440732455688e-05	1.165116960581060e-04	1.214744638813572e-04	-1.530696152588256e-07	3.878186903113735e-06	9.205309699729319e-08	6.130883210479185e-03
-2.222336065573776e-01	7.759641927663101e-03	-3.999462449850359e-01	1.051527981390783e-18	3.893198070033232e-02	2.563961799927899e-05	1.863126306525124e-04	1.930414000964767e-04	-2.010660758719664e-07	5.245703982304066e-06	1.429885391154053e-07	7.759641927663101e-03
-1.422336065573776e-01	9.388400644847019e-03	-3.552366376465482e-01	2.230354461457508e-19	3.958634283922475e-02	3.244129516707195e-05	2.804063114469196e-04	2.889095245712836e-04	-2.491198284515285e-07	6.539841610206239e-06	1.932839050700986e-07	9.388400644847019e-03
-6.223360655737768e-02	1.247102203120549e-02	-2.828113458265781e-01	2.835653508751775e-06	3.453836742569377e-02	1.074109112937787e-04	4.892903907502633e-04	5.616746937817241e-04	-4.057081096220492e-07	-7.369258237155414e-06	3.183599121496909e-07	1.247102203120549e-02
1.776639344262240e-02	1.924621679705014e-02	-1.769997597210826e-01	-1.150380404023565e-06	2.408736308908556e-02	1.367394478544487e-03	9.052567591358152e-04	2.217030996353046e-03	-1.006871432712325e-06	-4.659613461941118e-05	6.898216471732876e-07	1.924621679705014e-02
9.776639344262236e-02	2.607816317825745e-02	-1.050166367935395e-01	2.169756744282514e-06	1.903616393460397e-02	3.203094188406275e-03	1.303118221483285e-03	4.434411357707614e-03	-1.659574311142295e-06	-7.336316238747942e-05	1.081705883473126e-06	2.607816317825745e-02
1.777663934426223e-01	3.001218616248982e-02	-6.794919577218725e-02	8.568729539699977e-06	1.832021463054899e-02	3.964059666387850e-03	1.586746405280849e-03	5.468944250832886e-03	-1.675572747935337e-06	-7.865448662317712e-05	1.141497033336589e-06	3.001218616248982e-02
2.577663934426224e-01	3.153258106650910e-02	-5.224428658770550e-02	8.155574248078944e-06	1.951455022996118e-02	3.970800457086301e-03	1.745330345529640e-03	5.628200185185077e-03	-1.716927949083472e-06	-6.699103547431425e-05	1.179697751885187e-06	3.153258106650910e-02
3.377663934426224e-01	3.284940640627004e-02	-3.661003311324072e-02	7.828643931673108e-06	2.049645052773710e-02	3.976007065554783e-03	1.941696987939694e-03	5.825093140520622e-03	-1.757676873236837e-06	-5.492774590034239e-05	1.203476771467858e-06	3.284940640627004e-02
4.177663934426223e-01	3.402398099119493e-02	-2.092406730107949e-02	7.558323601687128e-06	2.133938255806870e-02	3.980218532610979e-03	2.179317339742596e-03	6.063073777384021e-03	-1.791668822647823e-06	-4.235553331348413e-05	1.219084375851499e-06	3.402398099119493e-02
4.977663934426224e-01	3.513728271500993e-02	-4.489700740751341e-03	7.318843082856396e-06	2.209069130221232e-02	3.983997837124865e-03	2.472574170616500e-03	6.356629643403396e-03	-1.823563720365526e-06	-2.910546356380521e-05	1.229857186616195e-06	3.513728271500993e-02
5.777663934426225e-01	3.650109370307673e-02	1.726546269560365e-02	7.447774864630882e-06	2.328169365922163e-02	3.991187718709747e-03	2.922551341963821e-03	6.807652478600369e-03	-1.840409963592487e-06	-4.745054577255990e-06	1.226403746850043e-06	3.650109370307673e-02
6.577663934426223e-01	3.830403744052363e-02	4.741338492736157e-02	2.365031189406670e-06	2.565512518457078e-02	4.020987162314945e-03	3.640012899818450e-03	7.534453826847776e-03	-1.969964150984726e-06	5.073722014014553e-05	1.225285580561144e-06	3.830403744052363e-02
7.377663934426224e-01	3.901909553546611e-02	6.006469066196121e-02	2.321689982401042e-06	2.601062063299019e-02	4.022691924648813e-03	3.976283603691173e-03	7.870879442157721e-03	-1.984717948030679e-06	6.013230741255825e-05	1.221198621042086e-06	3.901909553546611e-02
